SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,year,AlerteID,Nb_localites_affectes,mois,TOTAL_menages_beneficiaires_NFI,TOTAL_individus_beneficiaires_NFI,DEPLACES _menages_beneficiaires_NFI,DEPLACES_individus_beneficiaires_NFI,ACCEUIL_menages_beneficiaires_NFI,ACCEUIL_individus_beneficiaires_NFI,RETOURNES_menages_beneficiaires_NFI,RETOURNES_individus_beneficiaires_NFI,RAPATRIES_menages_beneficiaires_NFI,RAPATRIES_individus_beneficiaires_NFI,HOTE_menages_beneficiaires_NFI,HOTE_individus_beneficiaires_NFI,Hommes_beneficiaires,Femmes_beneficiaires,beneficiaires_moins_5ans,beneficiaires_5_17ans,beneficiaires_18_59ans,beneficiaires_plus_60ans,Kits_NFI_total,Kits_NFI_deplaces,Kits_NFI_accueil,Kits_NFI_retournes,Kits_NFI_rapatries,Kits_NFI_hote,NFI_savons_total,NFI_savons_deplaces,NFI_savons_accueil,NFI_savons_retournes,NFI_savons_rapatries,NFI_savons_hote,NFI_couvertures_total,NFI_couvertures_deplaces,NFI_couvertures_accueil,NFI_couvertures_retournes,NFI_couvertures_rapatries,NFI_couvertures_hote,NFI_nattes_total,NFI_nattes_deplaces,NFI_nattes_accueil,NFI_nattes_retournes,NFI_nattes_rapatries,NFI_nattes_hote,NFI_bidons_total,NFI_bidons_deplaces,NFI_bidons_accueil,NFI_bidons_retournes,NFI_bidons_rapatries,NFI_bidons_hote,NFI_moustiquaires_total,NFI_moustiquaires_deplaces,NFI_moustiquaires_accueil,NFI_moustiquaires_retournes,NFI_moustiquaires_rapatries,NFI_moustiquaires_hote,NFI_baches_total,NFI_baches_deplaces,NFI_baches_accueil,NFI_baches_retournes,NFI_baches_rapatries,NFI_baches_hote,NFI_torche_total,NFI_torche_deplaces,NFI_torche_accueil,NFI_torche_retournes,NFI_torche_rapatries,NFI_torche_hote,NFI_seau_total,NFI_seau_deplaces,NFI_seau_accueil,NFI_seau_retournes,NFI_seau_rapatries,NFI_seau_hote,NFI_kitCuisine_total,NFI_kitCuisine_deplaces,NFI_kitCuisine_accueil,NFI_kitCuisine_retournes,NFI_kitCuisine_rapatries,NFI_kitCuisine_hote,NFI_vetements_enfants_total,NFI_vetements_enfants_deplaces,NFI_vetements_enfants_accueil,NFI_vetements_enfants_retournes,NFI_vetements_enfants_rapatries,NFI_vetements_enfants_hote,NFI_vetement_bebe,Kits_VIVRES,Vivres_Huile2L,Vivres_PlumpySup,Vivres_CSB_12Kg,Vivres_Riz_25kg,Date_rapport_WASH_envoye_CoPil,TOTAL_individus_beneficiaires_WASH,DEPLACES_individus_beneficiaires_WASH,ACCEUIL_individus_beneficiaires_WASH,RETOURNES_individus_beneficiaires_WASH,RAPATRIES_individus_beneficiaires_WASH,HOTE_individus_beneficiaires_WASH,TOTALbeneficiaireshommes,TOTALbeneficiairesfemmes,TOTALbeneficiairesmoins5,TOTALbeneficiaires5_17,TOTAL_beneficiaires18_59,TOTALbeneficiaries60plus,Nb_blocs_latrines,nb_latrines_installees,rehabilitation_forage_source_eau,Redynamisation_comite_gestion_source_eau,Sensibilisation_communaute_lavage_main,Sensibilisation_communaute_bonnes_pratiques_hygiene,comite_gestion_latrines,Autre_intervention_WASH,Abris,interventioncount,NFI_WASH,Status_Intervention_Complete,Delais_INT_NFI_Pas_d_intervention,Delais_INT_NFI_Disponibilite,Delais_INT_NFI_Defaillance_BD,Delais_INT_NFI_Coordination_humanitaire,Delais_INT_NFI_Intervention_multiple,Delais_INT_NFI_Autre,Delais_INT_NFI_Pas_de_delais,Delais_INT_NFI_Pas_cause_int,Delais_EXT_NFI_Pas_d_intervention,Delais_EXT_NFI_Necessite_reevaluer,Delais_EXT_NFI_Acces_logistique,Delais_EXT_NFI_Suspension_logistique,Delais_EXT_NFI_Acceptance_parties_prenantes,Delais_EXT_NFI_Incident_pendant_MEX,Delais_EXT_NFI_Acces_securitaire,Delais_EXT_NFI_Suspension_securitaire,Delais_EXT_NFI_Pas_de_delais,Delais_EXT_NFI_Autre,Delais_EXT_NFI_Pas_cause_ext,Cause_annulation_NFI_intervention_autre_agence,Cause_annulation_NFI_Securite,Cause_annulation_NFI_NA,Cause_annulation_NFI_Autre,Statut_rapport_intervention_NFI_En_cours,Statut_intervention_WASH_Complete,Delais_INT_WASHI_Pas_d_intervention,Delais_INT_WASH_Disponibilite,Delais_INT_WASH_Defaillance_BD,Delais_INT_WASH_Coordination_humanitaire,Delais_INT_WASH_Intervention_multiple,Delais_INT_WASH_Autre,Delais_INT_WASH_Pas_de_delais,Delais_INT_WASH_Pas_cause_int,Delais_EXT_WASH_Pas_d_intervention,Delais_EXT_WASH_Necessite_reevaluer,Delais_EXT_WASH_Acces_logistique,Delais_EXT_WASH_Suspension_logistique,Delais_EXT_WASH_Acceptance_parties_prenantes,Delais_EXT_WASH_Incident_pendant_MEX,Delais_EXT_WASH_Acces_securitaire,Delais_EXT_WASH_Suspension_securitaire,Delais_EXT_WASH_Pas_de_delais,Delais_EXT_WASH_Autre,Delais_EXT_WASH_Pas_cause_ext,Cause_annulation_WASH_intervention_autre_agence,Cause_annulation_WASH_Securite,Cause_annulation_WASH_NA,Cause_annulation_WASH_Autre,Statut_rapport_intervention_WASH_En_cours,Code_SousPrefecture,SousPrefecture,Code_Prefecture,Prefecture,CodeArrondissement,Arrondissement,CodeCommune,Commune,Longitude,Latitude
801479719,03.03.2015,29.01.2015,30.01.2015,SI,Kaga-Bandoro,2015,SI_MBR_20141216,1,,525,2625,525,2625,,,,,,,,,,,,,,,525,525,,,,,3150,3150,,,,,1050,1050,,,,,1050,1050,,,,,525,525,,,,,1050,1050,,,,,,,,,,,,,,,,,525,525,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,NA,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,Kaga-Bandoro,,Nana-Gribizi,,,,Kaga-Bandoro,19.191543,6.990379
115393556,24.03.2015,30.01.2015,01.02.2015,ACF,Bondiba,2015,ACF_BON_20141216,,,388,1695,94,388,294,1307,,,,,,,,,,,,,388,94,294,,,,2328,564,1764,,,,244,188,56,,,,244,188,56,,,,244,188,56,,,,510,188,322,,,,122,94,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,388,1307,,,,,,,,,,,,1,1,,1,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Baboua,,Nana-Mambere,,,,Baboua,14.794725,5.535135
2053797164,24.03.2015,03.03.2015,06.03.2015,ACF,Gbabiro,2015,ACF_GBA_20150218,,,372,1892,312,1442,60,450,,,,,,,,,,,,,372,312,60,,,,2232,1872,360,,,,624,624,0,,,,624,624,0,,,,624,624,0,,,,624,624,0,,,,312,312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,1442,450,,,,,,,,,,6,18,1,1,1,1,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Bossangoa,,Ouham,,,,Ben Zambe,17.697580,6.849218
1141089873,24.03.2015,05.03.2015,05.03.2015,ACF,Sabewa,2015,ACF_SAB_20150204,,,425,2041,175,816,250,1225,,,,,,,,,,,,,425,175,250,,,,2550,1050,1500,,,,350,350,0,,,,350,350,0,,,,350,350,0,,,,350,350,0,,,,175,175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041,816,1225,,,,,,,,,,,,1,1,1,1,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Bouar,,Nana-Mambere,,,,Niem-Yelewa,14.982606,6.668017
1381250290,24.03.2015,10.03.2015,14.03.2015,ACF,Bofire,2015,ACF_GBB_20150220,3,,708,3333,516,2246,192,1087,,,,,,,,,,,,,708,516,192,,,,3096,3096,0,,,,1032,1032,0,,,,1032,1032,0,,,,516,516,0,,,,1224,1032,192,,,,700,700,0,,,,,,,,,,516,516,0,,,,,,,,,,,,,,,,,,,,,,,2528,2246,282,,,,,,,,,,11,33,,,3,3,3,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Bossangoa,,Ouham,,,,Ben Zambe,17.766026,6.718610
872205074,24.03.2015,11.03.2015,13.03.2015,SI,Kaga-Bandoro,2015,SI_BOT_20150127,,,1157,5785,329,1645,828,4140,,,,,,,333,824,,2,1084,71,1157,329,828,,,,6942,1974,4968,,,,2314,658,1656,,,,2314,658,1656,,,,1157,329,828,,,,2314,658,1656,,,,531,531,0,,,,,,,,,,1157,329,828,,,,1157,329,828,,,,3471,987,2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,NA,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,,Kaga-Bandoro,,Nana-Gribizi,,,,Kaga-Bandoro,19.185733,6.992369
1843693350,30.03.2015,11.03.2015,12.03.2015,PU-AMI,Nassole,2015,PU_NAS_20150211,1,,143,845,143,845,0,0,,,,,,,31,112,,,,,143,143,143,,,,0,0,0,,,,286,286,0,,,,286,286,0,,,,286,286,0,,,,286,286,0,,,,143,143,0,,,,0,0,0,,,,143,143,0,,,,143,143,,,,,0,0,0,,,,0,,,,,,,500,500,0,0,,0,,,,,,,0,0,1,,1,1,0,,,,NFI,Completé,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Berberati,,Mambere-Kadei,,,,Ouakanga,15.375248,4.258509
440565508,31.03.2015,25.03.2015,25.03.2015,ACTED,Ngakobo,2015,ACTED_NGA_20150208,,,490,2450,490,2450,,,,,,,,,,,,,,,490,490,,,,,3430,3430,,,,,980,980,,,,,980,980,,,,,490,490,,,,,980,980,,,,,490,490,,,,,,,,,,,490,490,,,,,490,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFI,Completé,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,NA,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,Bambari,,Ouaka,,,,Ngougbia,20.730846,5.339652
1933496338,30.03.2015,26.03.2015,30.03.2015,ACF,Kaboro,2015,ACF_KAB_20150305,1,,263,1506,153,801,110,705,,,,,,,,,,,,,263,153,110,,,,1578,918,660,,,,306,306,0,,,,306,306,0,,,,85,85,0,,,,526,306,220,,,,263,153,110,,,,0,0,0,,,,223,223,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Annulé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,,,Nana-Bakassa,,Ouham,,,,Nana-Bakassa,17.529444,6.970833
30896935,14.04.2015,27.03.2015,01.04.2015,ACTED,Lebada,2015,ACTED_LEB_20141021,12,,1049,5245,1049,5245,,,,,,,,,,,,,,,1049,1049,,,,,7343,7343,,,,,2098,2098,,,,,2098,2098,,,,,0,0,,,,,2098,2098,,,,,1049,1049,,,,,,,,,,,1049,1049,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,NA,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,Bambari,,Ouaka,,,,Pladama-Ouaka,20.544786,5.854284
567526412,13.04.2015,02.04.2015,16.05.2015,PU-AMI,Amada Gaza,2015,PU_AMA_20150213,1,,316,1808,316,1808,0,0,,,,,,,49,267,316,,,,316,316,0,,,,1896,1896,0,,,,632,632,0,,,,632,632,0,,,,632,632,0,,,,632,632,0,,,,316,316,0,,,,0,0,0,,,,316,316,0,,,,196,196,0,,,,0,0,0,,,,0,0,0,0,0,0,,1300,1300,0,,,,,,,,,,40,40,2,2,1,1,1,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Amada-Gaza,,Mambere-Kadei,,,,,15.209111,4.768658
56964430,06.04.2015,06.04.2015,06.04.2015,ACF,Sanguere 3,2015,DRC_SAN_20150225,1,,224,1112,55,224,0,0,169,888,0,0,0,0,,,,,,,224,55,0,169,0,0,1344,330,0,1014,0,0,448,110,0,338,0,0,448,110,0,338,0,0,448,110,0,338,0,0,448,110,0,338,0,0,224,55,0,169,0,0,0,,,,,,224,55,0,169,0,0,0,,,,,,0,,,,,,0,0,,,,,,1112,224,0,888,,,,,,,,,,,,,,,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,En cours,En attente (délais),Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,En cours,,Koui,,Ouham Pende,,,,Koui,15.337074,6.966833
2059866775,06.04.2015,08.04.2015,10.04.2015,DRC,Batangafo,2015,DRC_BAT_20150302,7,,2208,11040,2208,11040,0,0,,,,,,,,,,,,,2208,2208,0,,,,,,,,,,4416,4416,0,,,,4416,4416,,,,,,,,,,,,,,,,,2208,2208,,,,,,,,,,,4416,4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFI,Completé,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Envoyé au CoPil,Annulé,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,,,Batangafo,,Ouham,,,,Batangafo,18.285135,7.300987
1118244278,27.04.2015,18.04.2015,20.05.2015,ACTED,Goussiéma,2015,ACTED_GOU_20150319,1,,535,2675,335,1675,200,1000,,,,,,,,,,,,,535,335,200,0,0,0,3745,2345,1400,0,0,0,335,335,0,0,0,0,0,0,0,0,0,0,335,335,0,0,0,0,1070,670,400,0,0,0,335,335,0,0,0,0,0,0,,0,0,0,335,335,0,0,0,0,535,335,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2795,1795,,,,1000,,,,,,,,,2,2,4,4,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,,Kouango,,Ouaka,,,,Kouango,20.126750,5.395833
2063036084,14.04.2015,18.04.2015,22.04.2015,ACTED,Dembia,2015,ACTED_DEM_20150317,9,,956,4780,35,175,,,921,4605,,,,,,,,,,,956,35,0,921,,0,6692,245,,6447,,,1912,70,,1842,,,6447,70,,1842,,,956,35,,921,,,6447,70,,1842,,,956,35,,921,,,,,,,,,956,35,,921,,,,,,,,,,,,,,,,,,,,,,5357,175,,4605,,577,,,,,,,,,4,4,14,14,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,,Rafai,,Mbomou,,,,Rafai,24.463914,5.102711
6000403,23.04.2015,27.04.2015,27.05.2015,DRC,Mbada,2015,DRC_MBA_20150110,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,70,7,,,,,,,,WASH,Annulé,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Oui,,Completé,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,En cours,,Bouca,,Ouham,,,,Lady Gbawi,18.562368,6.865547
516772832,14.07.2015,27.04.2015,27.05.2015,SI,Kaga-Bandoro,2015,SI_NDE_20150320,8,,1143,5715,1143,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,1143,0,0,0,0,6858,6858,0,0,0,0,1143,1143,0,0,0,0,2286,2286,0,0,0,0,170,170,1143,1143,0,0,2286,2286,0,0,0,0,1143,1143,0,0,0,0,0,0,0,0,0,0,170,170,1143,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NFI,Completé,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,NA,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,En cours,,Kaga-Bandoro,,Nana-Gribizi,,,,Kaga-Bandoro,19.185733,6.992369
76827058,07.05.2015,28.04.2015,14.07.2015,ACTED,Derbissaka,2015,ACTED_DER_20150227,,,283,1415,,,,,283,1415,,,,,,,,,,,283,,,283,,,1415,,,1415,,,283,,,283,,,,,,,,,283,,,283,,,566,,,566,,,283,,,283,,,,,,,,,283,,,283,,,283,,,283,,,,,,,,,,,,,,,,2984,,,2984,,,,,66,,,,,,1,1,5,5,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Rafai,,Mbomou,,,,Rafai,24.847812,5.774286
1656684167,06.04.2015,30.04.2015,14.05.2015,ACTED,Lihoto,2015,ACTED_LIH_20150206,1,,529,2645,207,1035,,,,,,,322,1610,,,,,,,529,207,,,,322,3703,1449,,,,2254,207,207,,,,0,1058,0,0,0,0,0,207,207,0,0,0,0,1058,414,,,,644,207,207,0,0,0,0,0,0,0,0,0,0,529,207,0,0,0,322,529,207,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,,2645,1035,,,,1610,,,,,,,,,3,2,2,2,,,,,NFI-WASH,Completé,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,,Kouango,,Ouaka,,,,Azengue-Mindou,20.158370,5.312277
1311532288,29.05.2015,02.05.2015,19.07.2015,ACTED,Guenekoumba,2015,ACTED_GUE_20150425,1,,283,1415,0,0,0,0,283,1415,0,0,0,0,0,0,,,,,283,,,283,,,1421,,,1981,,,283,,,283,,,0,0,0,0,0,,283,,,283,,,566,,,566,,,,,,566,,,,,,,,,566,,,566,,,,,,,,,,,,,,,,,,,,,,889,889,,,,,,,,,,,,,2,1,2,2,,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,En cours,,Rafai,,Mbomou,,,,Rafai,24.585240,5.092950
2048303893,17.05.2015,13.05.2015,25.05.2015,PU-AMI,Berberati,2015,PU_EVE_20150501,1,,9,,9,,,,,,,,,,,,,,,,9,9,,,,,54,54,,,,,18,18,,,,,18,18,,,,,18,18,,,,,18,18,,,,,9,9,,,,,,,,,,,,9,9,,,,9,9,,,,,18,18,,,,,,,,,,,,200,200,,,,,,,,,,,1,4,,,1,1,1,,,,NFI-WASH,Completé,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Berberati,,Mambere-Kadei,,,,Basse-Batouri,15.787529,4.255473
1982703657,19.05.2015,16.05.2015,26.06.2015,ACF,Bowara,2015,ACF_BOW_20150417,1,,550,1998,,,,,550,1998,,,,,,,,,,,550,,,550,,,3300,,,3300,,,1100,,,1100,,,1100,,,1100,,,,,,,,,1100,,,1100,,,420,,,420,,,,,,,,,550,,,550,,,,,,,,,,,,,,,,,,,,,,1998,,,1998,,,,,,,,,,50,2,2,2,2,2,,,,NFI-WASH,Completé,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Nana-Bakassa,,Ouham,,,,Nana-Bakassa,17.384206,7.169761
241169077,12.05.2015,19.05.2015,26.06.2015,ACF,Kouki,2015,ACF_KOU_20150325,1,,1450,8339,,,,,1450,8339,,,,,,,,,,,1450,,,1450,,,17400,,,17400,,,2900,,,2900,,,2900,,,2900,,,,,,,,,2900,,,2900,,,989,,,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8356,,,8356,,,,,,,,,,50,5,4,4,4,4,,,,NFI-WASH,Completé,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Nana-Bakassa,,Ouham,,,,Nana-Bakassa,17.309082,7.166343
1253832593,06.04.2015,22.05.2015,27.05.2015,DRC,Bokaioua,2015,DRC_BOK_20150209,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065,,,,,,1009,1056,,,,,,,3,,,5,,,,,WASH,NA,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,,Completé,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Kabo,,Ouham,,,,Ouaki,18.538442,7.279787
1451352,26.05.2015,26.05.2015,31.05.2015,ACTED,Kpadou,2015,ACTED_KPA_20150505,4,,1755,8775,,,,,,,,,1755,8775,,,,,,,,,,,,,8775,,,,,8775,,,,,,,,,,,,,1755,,,,,1755,,,,,,,,,,,,,,,,,,,1755,,,,,1755,,,,,,,,,,,,,,,,,,,,1755,,,,,1755,,,,,,,,,,,4,4,,,,,NFI-WASH,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Envoyé au CoPil,,Kembe,,Basse-Kotto,,,,Mboui,21.375632,4.531658
359034048,27.05.2015,29.05.2015,31.05.2015,ACTED,Zabé,2015,ACTED_ZAB_20150422,5,,262,,,,,,262,,,,,,,,,,,,262,,,262,,,1834,,,1834,,,262,,,262,,,262,,,262,,,262,,,262,,,524,,,524,,,262,,,262,,,,,,,,,262,,,262,,,,,,,,,,,,,,,,,,,,,,1014,,,1014,,,510,426,78,,,,,,,,3,3,,,,,NFI,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,Completé,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Envoyé au CoPil,,Bakouma,,Mbomou,,,,Bakouma,22.235056,5.908856
